5.000229359	3.806808710
6.385454655	3.793200493
7.770679474	3.779592752
9.155903816	3.769386530
10.541129112	3.762582541
11.926353455	3.752376556
13.311578751	3.745572329
16.082029343	3.731964350
17.467254639	3.725160122
18.852479935	3.718356133
20.237703323	3.711552382
21.622928619	3.711552382
23.008152008	3.704748392
24.393377304	3.697944164
27.163827896	3.691140175
28.549053192	3.687738180
29.934278488	3.684336185
31.319501877	3.680934191
32.704730988	3.677532196
34.089954376	3.674129963
35.475177765	3.670727968
36.860401154	3.667325974
39.630851746	3.660521984
41.016078949	3.657119989
42.401302338	3.653717995
43.786529541	3.653717995
45.171752930	3.650316000
46.556976318	3.646914005
47.942203522	3.646914005
50.712654114	3.640110016
52.097877502	3.636708021
53.483100891	3.633305788
54.868324280	3.633305788
56.253551483	3.629904032
57.638774872	3.626501799
59.024002075	3.626501799
61.794452667	3.623099804
63.179679871	3.619697809
64.564895630	3.619697809
65.950126648	3.616295815
67.335350037	3.612893820
68.720581055	3.612893820
70.105796814	3.612893820
72.876251221	3.606089830
74.261482239	3.606089830
75.646697998	3.606089830
77.031929016	3.602687836
78.417152405	3.599285841
79.802375793	3.599285841
81.187599182	3.599285841
83.958053589	3.592481852
85.343276978	3.592481852
86.728500366	3.592481852
88.113723755	3.592481852
89.498954773	3.589079857
90.884178162	3.585677624
92.269401550	3.585677624
95.039848328	3.582275629
96.425079346	3.582275629
97.810295105	3.578873634
99.195526123	3.578873634
100.580749512	3.578873634
101.965972900	3.575471640
103.351196289	3.575471640
104.736427307	3.572069645
107.506874084	3.572069645
108.892097473	3.572069645
110.277328491	3.568667650
111.662551880	3.565265656
113.047767639	3.565265656
114.432998657	3.565265656
115.818222046	3.565265656
118.588668823	3.561863661
119.973899841	3.558461428
121.359123230	3.558461428
122.744354248	3.558461428
124.129570007	3.558461428
125.514808655	3.555059671
126.900016785	3.555059671
129.670471191	3.551657438
131.055694580	3.551657438
132.440917969	3.551657438
133.826156616	3.551657438
135.211380005	3.548255444
136.596603394	3.544853449
137.981811523	3.544853449
140.752273560	3.544853449
142.137496948	3.544853449
143.522720337	3.541451454
144.907958984	3.541451454
146.293182373	3.538049698
147.678390503	3.538049698
149.063613892	3.538049698
151.834075928	3.538049698
153.219299316	3.534647465
154.604522705	3.534647465
155.989746094	3.531245470
157.374984741	3.531245470
158.760192871	3.531245470
160.145416260	3.531245470
161.530639648	3.531245470
164.301101685	3.527843475
165.686325073	3.524441481
167.071548462	3.524441481
168.456771851	3.524441481
169.841995239	3.524441481
171.227218628	3.524441481
172.612442017	3.524441481
175.382904053	3.521039486
176.768127441	3.517637491
178.153335571	3.517637491
179.538558960	3.517637491
180.923782349	3.517637491
182.309020996	3.517637491
183.694229126	3.514235497
186.464675903	3.514235497
187.849914551	3.510833263
189.235137939	3.510833263
190.620361328	3.510833263
192.005584717	3.510833263
193.390823364	3.510833263
194.776031494	3.507431269
197.546478271	3.507431269
198.931701660	3.504029274
200.316940308	3.504029274
201.702163696	3.504029274
203.087387085	3.504029274
204.472610474	3.504029274
205.857833862	3.504029274
208.628280640	3.500627279
210.013504028	3.497225285
211.398742676	3.497225285
212.783966064	3.497225285
214.169189453	3.497225285
215.554397583	3.497225285
216.939620972	3.497225285
219.710083008	3.493823290
221.095306396	3.490421295
222.480529785	3.490421295
223.865768433	3.490421295
225.250991821	3.490421295
226.636199951	3.490421295
228.021423340	3.490421295
229.406661987	3.490421295
232.177108765	3.487019300
233.562332153	3.483617306
234.947555542	3.483617306
236.332794189	3.483617306
237.718002319	3.483617306
239.103225708	3.483617306
240.488449097	3.483617306
243.258911133	3.480215311
244.644134521	3.480215311
246.029357910	3.476813316
247.414581299	3.476813316
248.799804688	3.476813316
250.185043335	3.476813316
251.570251465	3.476813316
254.340713501	3.473411083
255.725921631	3.473411083
257.111175537	3.470009327
258.496368408	3.470009327
259.881622314	3.470009327
261.266815186	3.470009327
262.652069092	3.470009327
265.422485352	3.470009327
266.807739258	3.466607094
268.192932129	3.466607094
269.578186035	3.463205338
270.963409424	3.463205338
272.348632812	3.463205338
273.733856201	3.463205338
276.504302979	3.463205338
277.889526367	3.463205338
279.274749756	3.459803104
280.659973145	3.459803104
282.045227051	3.456401110
283.430419922	3.456401110
284.815673828	3.456401110
286.200866699	3.456401110
288.971343994	3.456401110
290.356536865	3.456401110
291.741790771	3.452999115
293.127014160	3.452999115
294.512237549	3.449597120
295.897460938	3.449597120
297.282653809	3.449597120
300.053131104	3.449597120
301.438354492	3.449597120
302.823577881	3.449597120
304.208801270	3.446195126
305.594024658	3.446195126
306.979278564	3.446195126
308.364471436	3.442793131
311.134948730	3.442793131
312.520141602	3.442793131
313.905395508	3.442793131
315.290588379	3.442793131
316.675842285	3.442793131
318.061065674	3.439390898
319.446258545	3.439390898
322.216705322	3.435988903
323.601959229	3.435988903
324.987182617	3.435988903
326.372406006	3.435988903
327.757629395	3.435988903
329.142852783	3.435988903
330.528076172	3.432586908
333.298522949	3.429184914
334.683746338	3.429184914
336.069000244	3.429184914
337.454193115	3.429184914
338.839447021	3.429184914
340.224639893	3.429184914
341.609863281	3.429184914
344.380310059	3.425783157
345.765563965	3.422380924
347.150787354	3.422380924
348.536010742	3.422380924
349.921234131	3.422380924
351.306427002	3.422380924
352.691680908	3.422380924
354.076904297	3.422380924
356.847351074	3.418979168
358.232574463	3.415576935
359.617797852	3.415576935
361.003051758	3.415576935
362.388244629	3.415576935
363.773468018	3.415576935
365.158721924	3.415576935
367.929168701	3.412174940
369.314361572	3.412174940
370.699615479	3.408772945
